customer_id,dpd,loan_amount,communication_score,utility_payment_score,sms_response_rate,credit_bureau_score,last_payment_days_ago,channel_preference,preferred_hour,business_vintage_years,annual_turnover,emi_amount,last_repayment_date,overdue_amount,repaid_in_7_days,repaid_in_14_days,repaid_in_30_days,default_risk
50,60,383361,0.26387970557658214,0.8443254490067186,0.14866305211169595,347,34,Email,13,18,3877741,33848,2025-03-01 09:04:57.578245,16940,0,1,1,1
51,5,131119,0.4967681391733496,0.8378333064796605,0.7183837281001304,837,7,SMS,10,5,9227520,18357,2025-02-10 09:04:57.578245,152471,1,1,0,0
52,1,495684,0.3821050550585493,0.4000622298676716,0.4392552688488284,626,73,Call,13,1,7996103,32590,2025-02-11 09:04:57.578245,180158,1,1,0,0
53,15,365460,0.35921618847377335,0.6171757919511991,0.7049224075199356,515,82,Call,19,4,2839153,32258,2025-02-23 09:04:57.578245,179369,0,1,1,0
54,15,163576,0.5339007289903196,0.6739899718201589,0.5547580830704673,553,58,WhatsApp,12,4,3635086,40037,2025-04-23 09:04:57.578245,185997,1,0,1,1
55,5,36713,0.4900664563133621,0.633874962412699,0.03551296396597292,559,6,WhatsApp,8,1,8156076,5447,2025-04-21 09:04:57.578245,183654,0,1,0,0
56,15,35373,0.46537533350237636,0.5884848488895824,0.3555564129272658,857,20,WhatsApp,14,14,6254653,2356,2025-04-17 09:04:57.578245,35575,0,0,1,1
57,1,157732,0.11321396633111891,0.8347198653826499,0.028862858865599472,362,64,WhatsApp,11,13,9464757,6017,2025-03-06 09:04:57.578245,12198,0,0,1,1
58,1,53308,0.5392662135497056,0.3621260006108574,0.7316613907226579,551,71,Call,8,16,4956485,30736,2025-04-02 09:04:57.578245,133542,0,1,1,0
59,5,242887,0.058960616604662786,0.34522021944436887,0.18572911470998854,377,63,Email,18,6,6096253,45309,2025-05-02 09:04:57.578245,85434,0,1,0,0
60,60,287915,0.6163493591112891,0.3522627393550254,0.9418746363171961,848,28,Call,11,12,6907676,13747,2025-03-24 09:04:57.578245,152178,0,1,1,0
61,30,149999,0.6234377234423626,0.2615743618610208,0.9940456069652932,492,57,SMS,14,22,1381155,12377,2025-04-26 09:04:57.578245,22495,1,1,1,0
62,90,347638,0.26059061497494884,0.9184154477821398,0.8817794722873304,366,54,SMS,18,10,6474313,21368,2025-04-13 09:04:57.578245,103122,0,0,0,1
63,60,157324,0.13531281886287228,0.21155654975256266,0.31838940235937807,456,69,Call,19,3,9542045,40062,2025-03-13 09:04:57.578245,45095,0,1,0,0
64,10,195099,0.7982746811536583,0.7154052916448969,0.0889833303880545,495,23,WhatsApp,17,15,2299206,10225,2025-03-13 09:04:57.578245,15005,0,0,1,0
65,1,59748,0.770382799762539,0.6895125459066052,0.7271314314222102,722,62,WhatsApp,12,8,8657100,19534,2025-04-02 09:04:57.578245,8884,0,1,1,0
66,10,240146,0.9460074047970327,0.7510014276171312,0.10843637780938198,571,24,Email,11,18,3722171,9503,2025-02-20 09:04:57.578245,62950,1,1,1,1
67,60,298703,0.4463093417820886,0.6579729241426735,0.17168928442640796,388,9,SMS,10,13,1992126,20076,2025-04-05 09:04:57.578245,34099,1,0,1,0
68,90,214819,0.3155515943700884,0.06123118344273193,0.07957650102464797,583,30,Email,15,9,4961538,46096,2025-04-26 09:04:57.578245,51563,0,1,1,0
69,90,67896,0.30260800654575504,0.21943970912775557,0.3557270094330427,459,66,Call,14,24,9211666,27826,2025-03-20 09:04:57.578245,86833,0,0,0,1
70,0,462896,0.18018334362732613,0.9565816264732457,0.20824254712667944,320,18,Email,8,11,8839751,10402,2025-02-11 09:04:57.578245,6484,0,0,1,0
71,90,163097,0.3497327810695573,0.2068659734144498,0.6201642086924601,760,39,Email,9,3,4186148,44098,2025-04-12 09:04:57.578245,150485,0,0,1,0
72,30,58405,0.12779749126170858,0.3341301886680984,0.36937856762188315,366,87,SMS,15,1,6526194,13365,2025-04-27 09:04:57.578245,33496,0,0,1,0
73,90,132373,0.8720360716900825,0.9535481887770347,0.39320194415981136,434,33,SMS,19,15,5466710,30007,2025-04-09 09:04:57.578245,58991,1,1,1,0
74,60,338879,0.34688078195463445,0.9269676544206896,0.5296360295643976,702,9,SMS,11,7,525039,17547,2025-03-05 09:04:57.578245,19275,1,1,1,0
75,0,284624,0.5472793815952345,0.274656169100688,0.3183917881078956,822,44,Call,16,13,8866900,47538,2025-02-14 09:04:57.578245,94119,0,0,1,1
76,60,284497,0.06658355233285229,0.5454895028388872,0.3282059699722668,797,13,Email,17,16,1067032,40240,2025-04-17 09:04:57.578245,130084,0,1,1,0
77,60,454271,0.2807341529607359,0.19200976268226333,0.3472577266245045,658,80,WhatsApp,12,6,6330655,26099,2025-03-06 09:04:57.578245,144044,0,0,1,0
78,2,187744,0.22354153700495383,0.561049927844014,0.720650904794814,695,13,Email,15,23,8181344,48503,2025-02-14 09:04:57.578245,188471,0,0,1,1
79,0,237627,0.8869629288486304,0.20380018608283101,0.3885476238376302,387,89,SMS,10,14,5314307,20846,2025-04-09 09:04:57.578245,59032,0,0,0,0
80,60,66018,0.1800151079263762,0.6298591136414751,0.1020249487779904,703,78,Call,16,3,8509413,5176,2025-04-11 09:04:57.578245,177183,0,1,1,0
81,2,463945,0.7955271339211287,0.11106889526264674,0.6820192056858325,556,76,SMS,18,9,3894144,35142,2025-03-28 09:04:57.578245,43246,0,0,1,0
82,2,133706,0.28266854241318573,0.36268811982054794,0.9430790822023646,652,84,Call,14,9,4645137,38943,2025-03-09 09:04:57.578245,123687,0,1,1,0
83,0,491172,0.21116368006654507,0.7771832059573226,0.0683494998406513,409,75,SMS,19,17,2183998,11683,2025-02-13 09:04:57.578245,69696,0,0,0,0
84,10,94471,0.00965999968903386,0.4981687727446945,0.8968423853969396,764,59,Email,8,15,3412880,25431,2025-05-03 09:04:57.578245,183070,1,0,0,0
85,30,149119,0.29156190971956897,0.9519683095778632,0.3553055534213311,566,3,SMS,16,21,6954275,11483,2025-02-24 09:04:57.578245,62688,0,0,0,0
86,90,219244,0.0702882638270087,0.38605882981978257,0.5504833663121269,447,47,WhatsApp,10,15,9943683,45814,2025-02-08 09:04:57.578245,190838,0,0,1,0
87,30,415394,0.3621317385520192,0.9004801648172677,0.1530134412270201,804,51,WhatsApp,13,5,943254,41200,2025-03-03 09:04:57.578245,26840,0,1,1,0
88,90,265931,0.0529041428132071,0.7823524366006013,0.28349361276557317,310,79,Email,14,11,3086517,35381,2025-04-02 09:04:57.578245,52989,0,0,0,1
89,60,491050,0.06422636819291994,0.7563676731594914,0.24827678833636413,805,52,Call,16,17,7808028,6730,2025-03-14 09:04:57.578245,1622,1,0,1,0
90,1,236002,0.3545444634170799,0.4745595124611577,0.04859132088989393,827,0,Call,17,22,5048069,12349,2025-03-29 09:04:57.578245,122900,1,0,1,0
91,0,283226,0.44800151566230983,0.5016264497513009,0.6259914640763449,743,37,SMS,14,16,6283965,41409,2025-02-26 09:04:57.578245,131414,0,1,0,0
92,30,461969,0.3324124329642437,0.30436617982405645,0.7839666832145558,442,61,Email,8,4,3529384,4351,2025-03-03 09:04:57.578245,142387,0,0,1,1
93,30,379398,0.023694766058181438,0.9102203154481469,0.03769140886410416,596,75,Email,16,13,4815293,31774,2025-03-26 09:04:57.578245,185739,0,0,0,0
94,60,305102,0.17809359874065833,0.22181876513324705,0.05504428446614973,435,33,Email,13,6,2092335,31466,2025-04-08 09:04:57.578245,85137,1,1,1,0
95,10,439266,0.9390498215261767,0.4021855880263733,0.23965409715956087,585,31,Email,14,5,1454058,23705,2025-03-08 09:04:57.578245,169838,0,0,1,1
96,2,49637,0.5717338827829744,0.5659149930971632,0.16992654634247484,786,19,Call,8,11,4714239,4094,2025-03-27 09:04:57.578245,87654,0,0,0,1
97,60,208851,0.8539846866392117,0.2635101008733389,0.2593134401785503,521,72,WhatsApp,11,21,1954972,4574,2025-03-21 09:04:57.578245,121322,0,1,1,0
98,15,100847,0.05132951566498278,0.2668711946316231,0.34918131390230345,713,44,Email,10,21,8314116,10777,2025-04-09 09:04:57.578245,22796,0,0,1,0
99,2,52548,0.007572528555612412,0.3691579707302436,0.9737506975034858,664,6,SMS,8,14,1279186,10523,2025-03-04 09:04:57.578245,76893,0,0,1,0
100,0,12364,0.7817512949915718,0.7980720817798016,0.3318882976768368,821,32,WhatsApp,12,22,6099787,6814,2025-03-29 09:04:57.578245,14507,0,0,1,0
101,2,430143,0.3844797198406438,0.12047822924945328,0.24209657565040588,566,60,Email,8,14,9475769,43449,2025-04-27 09:04:57.578245,13598,0,0,0,0
102,10,189396,0.3691434849638554,0.6286111469824526,0.040278105790561125,318,21,Email,11,24,6478415,13855,2025-02-20 09:04:57.578245,69930,0,1,1,0
103,2,82247,0.23821859398101952,0.9715815496101299,0.5964796900646597,555,39,WhatsApp,17,17,7272229,43090,2025-03-28 09:04:57.578245,65414,1,0,0,0
104,0,350384,0.16054412679583063,0.6576929974032318,0.9010726193718073,546,59,Call,19,14,9764151,25516,2025-03-25 09:04:57.578245,24308,0,0,1,0
105,10,303371,0.8284552567265223,0.4508665025886649,0.5556274319074188,773,79,Call,11,21,6623410,32061,2025-02-25 09:04:57.578245,128416,0,0,1,1
106,30,400585,0.061406745506967564,0.566965612086984,0.8342494694119869,519,89,Call,9,5,9906511,15790,2025-03-18 09:04:57.578245,198992,0,1,1,0
107,30,285996,0.4983554604601351,0.09299354099768697,0.08521419566727384,489,6,WhatsApp,17,10,5745652,14927,2025-04-05 09:04:57.578245,71963,0,0,0,0
108,90,48553,0.36043286173831424,0.42124877099640634,0.09743005285161599,679,81,Call,17,9,138873,27896,2025-02-13 09:04:57.578245,900,0,0,1,1
109,2,358913,0.2754176112838185,0.12322869259356573,0.6284729076607403,456,79,WhatsApp,11,6,6876799,29728,2025-03-18 09:04:57.578245,166818,0,1,1,0
110,30,147641,0.7607433369553063,0.30107371389427773,0.09635722005169822,542,12,SMS,8,15,9723108,12000,2025-02-12 09:04:57.578245,61191,1,1,1,0
111,0,25421,0.8789527702858958,0.3675739080580265,0.4868453713177918,514,55,Call,17,4,6642946,49144,2025-04-28 09:04:57.578245,90541,0,1,0,1
112,5,414945,0.19498920677850906,0.8272411283866937,0.17803420199728326,431,54,WhatsApp,19,8,5303263,30892,2025-02-16 09:04:57.578245,73918,0,0,1,1
113,5,167506,0.07700961614143365,0.4627842923298967,0.12786362734921608,453,44,WhatsApp,11,18,851831,19808,2025-04-10 09:04:57.578245,169952,0,1,1,0
114,10,98993,0.37505292141578206,0.2731331271724542,0.5263549841836943,747,67,SMS,10,17,6622587,7166,2025-04-21 09:04:57.578245,180718,0,0,0,1
115,30,317960,0.44013187421238975,0.6341647437142948,0.1354079909337601,628,3,Email,14,3,9443478,6108,2025-03-06 09:04:57.578245,55351,1,0,0,0
116,30,58025,0.05313405705650098,0.678477064560574,0.24499937447465392,673,37,Email,14,13,2973140,34688,2025-02-07 09:04:57.578245,138508,1,0,1,0
117,5,382481,0.47003536049370986,0.3666356228804616,0.21190552885980973,622,13,SMS,15,12,5001534,22438,2025-02-16 09:04:57.578245,146989,0,1,0,1
118,30,43148,0.9511455681494358,0.37364074779450296,0.9734434808921505,647,32,Email,8,14,2567421,28151,2025-04-25 09:04:57.578245,93054,1,1,1,0
119,2,231649,0.38562969590010354,0.8421981295628781,0.008865427549751947,765,7,SMS,8,17,786812,23743,2025-02-10 09:04:57.578245,103243,0,0,1,0
120,15,45619,0.9000102519346478,0.48852640066743624,0.07609378337485595,442,12,WhatsApp,14,13,1396826,45810,2025-05-05 09:04:57.578245,57912,0,0,1,0
121,1,32282,0.8485754838783588,0.7579995192640696,0.862879479988349,422,2,Call,9,9,5053017,15324,2025-03-10 09:04:57.578245,155632,0,1,1,0
122,90,470044,0.43657281978384754,0.13627562445235175,0.5182643772110123,496,70,Call,16,7,1277876,6495,2025-05-06 09:04:57.578245,137039,0,1,0,0
123,10,170752,0.7065126324678174,0.43941462045104185,0.1983961514672552,465,78,Email,9,3,356416,18112,2025-02-09 09:04:57.578245,127922,0,0,0,1
124,15,363817,0.2090590214254695,0.1522951441181667,0.25510884917204235,540,13,Call,12,18,3927464,28048,2025-04-08 09:04:57.578245,175478,1,1,1,1
125,5,372644,0.13511113372717098,0.03354498262059846,0.8628676669634635,836,14,Email,14,21,7430571,14607,2025-02-20 09:04:57.578245,177241,0,0,1,0
126,30,344557,0.002117337754852344,0.6977030515211722,0.9236379158218491,727,9,Email,19,22,9392423,9648,2025-04-30 09:04:57.578245,120650,0,0,1,1
127,90,330070,0.07332503301092752,0.23994899812465875,0.24988678950255572,401,9,Email,19,7,1418243,33681,2025-02-23 09:04:57.578245,115792,1,1,0,0
128,30,266927,0.6283255377984529,0.576336734087828,0.2131982703963462,567,33,Email,17,15,2343419,23098,2025-02-27 09:04:57.578245,62314,1,1,1,0
129,0,224087,0.8854071175976481,0.3077549780747676,0.36567172673779247,472,37,WhatsApp,10,19,9231035,24287,2025-04-11 09:04:57.578245,153354,0,1,0,1
130,0,160506,0.9778397493736442,0.8733190951015255,0.8864081886214938,521,88,Call,17,16,7817721,19661,2025-03-31 09:04:57.578245,95285,1,0,1,0
131,90,329349,0.4824692503648286,0.7598741501999555,0.010059975377452068,597,6,WhatsApp,10,12,1592409,37166,2025-03-11 09:04:57.578245,507,0,1,0,0
132,90,326297,0.14049307482758744,0.3519218664685314,0.4094999465892647,827,83,WhatsApp,16,12,9929915,48271,2025-04-14 09:04:57.578245,76682,0,0,0,0
133,5,144130,0.0001459393908452844,0.31150827886523935,0.3210217554236008,353,26,SMS,18,5,5097342,26530,2025-03-22 09:04:57.578245,15221,0,1,0,1
134,90,43448,0.9848888379678047,0.18574465972730636,0.6003527036905583,527,15,Call,12,24,4612665,47410,2025-03-06 09:04:57.578245,7568,0,1,0,0
135,2,417860,0.8178307388162069,0.35822784838066557,0.4690768743528879,739,77,SMS,17,11,8266840,49210,2025-02-26 09:04:57.578245,149030,0,0,1,0
136,30,72648,0.5236701300825041,0.47157557852175847,0.16248093772230954,343,10,SMS,11,20,4902998,42843,2025-04-13 09:04:57.578245,6567,0,1,1,1
137,15,489810,0.24559785723889727,0.745855211194745,0.7870899031267841,826,49,Email,10,8,6956511,18753,2025-03-23 09:04:57.578245,9840,1,0,0,0
138,60,46635,0.5177156523596722,0.9615026320353558,0.6343057719445071,634,6,Email,12,16,4305493,44377,2025-03-31 09:04:57.578245,65326,1,0,1,1
139,90,330855,0.8385466773459131,0.2620643701774298,0.16193171696581543,871,27,Email,13,4,3890296,13356,2025-02-20 09:04:57.578245,194973,0,0,0,0
140,10,169315,0.5559868649573253,0.795308310363667,0.20387642886599555,381,8,Call,18,14,828556,14540,2025-02-08 09:04:57.578245,94319,0,1,1,0
141,0,5325,0.9955099487822509,0.3200018335909849,0.8134870020903965,669,2,Email,19,24,6229529,44509,2025-03-22 09:04:57.578245,169939,1,0,1,0
142,2,455054,0.10672566952832552,0.40369084046421533,0.12551469813395044,874,10,WhatsApp,14,12,8788853,44959,2025-02-21 09:04:57.578245,108057,1,1,1,0
143,60,381380,0.9825277589701337,0.5482701271880455,0.7076516031536951,637,19,WhatsApp,18,23,9335202,19987,2025-03-09 09:04:57.578245,191754,1,1,0,0
144,15,352327,0.5846455061224602,0.45456606706864244,0.172958538636101,610,19,Call,16,16,3946432,11204,2025-03-05 09:04:57.578245,157220,0,0,0,1
145,60,45807,0.5679481306713345,0.30933943975449885,0.5748340396690259,303,48,WhatsApp,16,13,4936300,12444,2025-04-22 09:04:57.578245,107935,0,0,1,0
146,90,482271,0.3591483226253265,0.028627367844128893,0.4702536138443193,546,18,Email,12,8,784426,5698,2025-02-13 09:04:57.578245,47105,0,0,0,0
147,5,348497,0.040904861708853324,0.7998892225233243,0.7756859722368886,576,73,Email,8,16,894961,26143,2025-03-15 09:04:57.578245,111041,1,1,0,0
148,0,25637,0.7604441415085774,0.48227090731367084,0.3841947786941504,651,53,WhatsApp,11,6,1322746,37141,2025-03-26 09:04:57.578245,187743,0,1,1,0
149,0,473240,0.2758664729638849,0.1874554640094167,0.9104283717819478,806,47,Call,19,11,6416635,36789,2025-05-04 09:04:57.578245,97629,0,0,1,0
150,5,190259,0.3500397646748231,0.6248834924726636,0.7842537664259323,612,49,SMS,14,2,8165433,32626,2025-04-22 09:04:57.578245,17477,0,0,0,0
151,30,373583,0.5337053106848371,0.7730125493872777,0.7787730687835893,753,67,WhatsApp,16,24,6340815,44095,2025-03-27 09:04:57.578245,88656,1,0,0,1
152,1,69843,0.05696214382660014,0.6871690305968845,0.27860003003738343,445,78,WhatsApp,8,23,5521499,25193,2025-05-06 09:04:57.578245,42386,0,0,1,0
153,2,464033,0.01079054769897303,0.5608844961759571,0.4636445188362017,342,73,WhatsApp,18,15,9836840,44462,2025-04-30 09:04:57.578245,156565,0,0,1,0
154,0,300568,0.10493976474988576,0.19008928269740288,0.20475445828106775,512,41,Call,8,3,1951628,13131,2025-02-13 09:04:57.578245,60365,1,1,1,0
155,10,7210,0.7353494709593003,0.2641658724838394,0.818331177576404,493,20,Call,17,18,6128295,7389,2025-05-05 09:04:57.578245,7257,0,0,1,1
156,0,360501,0.19054187823753965,0.10117045670248004,0.6423246795380978,321,27,SMS,16,23,9251644,3452,2025-03-12 09:04:57.578245,186452,0,1,1,0
157,60,430067,0.5142747020766394,0.22238981237683297,0.006726547198998345,762,76,Email,17,16,1733150,29862,2025-03-17 09:04:57.578245,100515,0,1,0,0
158,0,341772,0.18590220089839948,0.18817584574082025,0.5727904906624317,380,75,WhatsApp,18,15,3223540,3646,2025-03-12 09:04:57.578245,188243,0,0,0,0
159,0,307380,0.2847400966400613,0.9164838874796098,0.04680753205802379,448,80,Call,19,5,2448526,20190,2025-02-27 09:04:57.578245,102608,0,0,1,1
160,1,312530,0.03791900589331165,0.11143333444501058,0.3692583700397276,358,66,Email,15,20,8054039,27175,2025-03-10 09:04:57.578245,179631,0,0,1,0
161,1,496663,0.3664626904786933,0.9433894732989861,0.8949646419052223,803,38,SMS,10,3,4160108,30171,2025-03-31 09:04:57.578245,34733,0,1,1,0
162,15,397249,0.13636204489152148,0.1428200396903655,0.1016317981473478,547,67,Email,17,15,4823018,40947,2025-04-20 09:04:57.578245,59077,0,1,1,0
163,30,221361,0.5581227476713005,0.581057771662934,0.09194864641644307,782,61,SMS,16,24,9405242,25247,2025-03-20 09:04:57.578245,86531,0,1,1,1
164,10,434917,0.8362052820301618,0.18974633054435341,0.8215408195239391,724,73,Email,10,6,4131964,11331,2025-03-17 09:04:57.578245,33204,0,1,0,0
165,0,323651,0.8783702252015667,0.657321426461251,0.2692790497749369,795,82,Email,13,2,3509694,31484,2025-05-03 09:04:57.578245,184334,0,1,1,0
166,0,326975,0.9333665491956322,0.8306131524217908,0.03574458160763061,492,34,SMS,9,23,5213772,31194,2025-04-27 09:04:57.578245,120983,0,0,0,0
167,2,449903,0.12389583080892819,0.09285708089644373,0.618911566132126,400,52,WhatsApp,16,18,8074256,4895,2025-05-06 09:04:57.578245,32650,1,0,1,0
168,1,243981,0.5164526023450734,0.9504992661870136,0.26371227593949353,494,13,WhatsApp,13,11,531112,41405,2025-03-05 09:04:57.578245,99681,0,0,1,1
169,10,128923,0.11476028452172748,0.15435076082605037,0.4143104712310969,694,51,Email,14,19,7230883,21025,2025-03-31 09:04:57.578245,180732,1,0,0,1
170,15,198747,0.30645925274844843,0.45989835038891225,0.18673482481163162,729,36,Call,9,14,3962450,35950,2025-02-12 09:04:57.578245,122437,0,1,1,0
171,30,310687,0.23132517456967983,0.9353784693667169,0.8552132831676218,642,45,SMS,16,21,3272504,33053,2025-04-25 09:04:57.578245,99651,0,0,1,0
